Categoría (Posible causa retraso),Subcategoría,Causa Específica,Tipo,Severidad (1-5),% de Afectación Global,% Prob. Retraso Despegue,% Prob. Retraso Aterrizaje,Mitigación Típica
MANO DE OBRA (Personas),Tripulación,Conexiones de tripulación insuficientes en bancos de vuelo,Humana,3,7%,12%,5%,Reprogramación de rotaciones y buffers operativos.
MANO DE OBRA (Personas),Controladores aéreos,Saturación en franjas pico y en secuencias de aproximación,Humana,4,8%,14%,13%,Refuerzo de turnos y mejor secuenciación ATC.
MANO DE OBRA (Personas),Personal de tierra,"Retrasos en pushback, carga, limpieza y abastecimiento",Operacional,3,6%,11%,4%,SLA más estrictos y coordinación digital.
MANO DE OBRA (Personas),Pasajeros,"Embarque tardío, documentación incompleta, pasajeros en conexión",Humana,2,4%,9%,3%,Pre-boarding digital y control anticipado de puertas.
MÉTODOS (Procesos),Embarque/desembarque,Secuencias lentas por alta ocupación de puertas y buses,Operacional,3,6%,10%,6%,Mejoras en turnarounds y gestión de puertas.
MÉTODOS (Procesos),Coordinación,"Desalineación entre aerolínea, handling y torre",Operacional,4,8%,13%,10%,A-CDM y AODB compartida en tiempo real.
MÉTODOS (Procesos),Slots y secuenciación,Slots asignados vs. reales por saturación en hora punta,Operacional,4,9%,15%,11%,Reglas más finas de priorización y buffers.
MÁQUINAS (Tecnología/Aeronaves),Aeronave,Fallas MEL/CDL que requieren inspecciones o limitaciones,Técnica,4,6%,11%,5%,Mantenimiento predictivo y stock de repuestos.
MÁQUINAS (Tecnología/Aeronaves),Navegación,Degradación temporal de ILS/RNAV por meteorología o mantenimiento,Técnica,4,7%,9%,14%,Redundancia de procedimientos instrumentales.
MÁQUINAS (Tecnología/Aeronaves),Soporte en tierra,"Fallas de GPU, finger, loaders o aire acondicionado de rampa",Técnica,3,5%,10%,4%,Mantenimiento preventivo y monitoreo de activos.
MATERIALES,Combustible,Reabastecimiento lento por congestión de camiones y stands,Operacional,3,5%,10%,3%,Ventanas dedicadas y planificación de fuel.
MATERIALES,Equipaje,Carga tardía y re-cálculo de peso y balance,Operacional,3,5%,9%,6%,Automatización de equipaje y cierre más temprano.
